URL,Name,Faculty-Student Ratio,Undergraduate Size,Total Size,Average Classroom Size,Acceptance Rate,Tuition,City Size,Accepted - South,Applied - South,Acceptance Rate - South,sat25,sat75
https://student.naviance.com/colleges/profile/b03a9df8-9f8a-4adb-828c-4fce982efe25/Overview,University of Maryland-Baltimore County,17,10932,13497,27.8,69.48%,19814,"Suburb, near city w/ greater than 250,000 pop",0,4,0,1230,1370
https://student.naviance.com/colleges/profile/b3543670-e9c3-4c9c-843c-5fc24f390276/Overview,University of Maryland-College Park,17,30875,40709,26.3,47.16%,26001,"Suburb, near city w/ greater than 250,000 pop",99,275,36,1350,1500
https://student.naviance.com/colleges/profile/d1af09f2-07ec-4622-a611-4cdfee8852d0/Overview,University of Michigan-Ann Arbor,12,29821,46002,23.1,22.83%,25001,"Midsize City, greater than 100,000 pop",14,278,5.0359712230215825,1450,1550
https://student.naviance.com/colleges/profile/32c7cb85-c97b-4286-ac51-077257bb0735/Overview,New Jersey Institute of Technology,17,8483,11446,24.7,63.66%,25991,"Large City, greater than 250,000 pop",104,179,58.10055865921788,1260,1470
https://student.naviance.com/colleges/profile/19b41f4c-e20b-4fa7-94e6-c65f57fd9e84/Overview,Northeastern University,14,15156,22905,21.9,19.34%,43276,"Large City, greater than 250,000 pop",52,256,20.3125,1350,1500
https://student.naviance.com/colleges/profile/3a7b2ad9-cf00-41ca-bfa0-a46e2f6fdffd/Overview,Emory University,9,6937,14263,23.9,18.52%,44260,"Suburb, near city w/ greater than 250,000 pop",14,105,13.333333333333334,1440,1540
https://student.naviance.com/colleges/profile/63ef7672-bfe5-434d-a3b8-c4708cfc02e1/Overview,Pennsylvania State University-Penn State Main Campus,14,40835,47119,30.1,56.49%,34177,"Small City, less than 100,000 pop",149,276,53.985507246376805,1250,1450
https://student.naviance.com/colleges/profile/9f1e2181-78a5-4c6a-b21f-b0c8f0036d5d/Overview,University of Pennsylvania,6,9871,23522,19.6,8.41%,37370,"Large City, greater than 250,000 pop",6,219,2.73972602739726,1480,1580
https://student.naviance.com/colleges/profile/4114ab3f-cf42-4430-bbb8-b8a6c93497a0/Overview,Princeton University,4,4774,7853,17.5,5.48%,41011,"Small City, less than 100,000 pop",10,201,4.975124378109453,1527.5,1590
https://student.naviance.com/colleges/profile/175644bb-2e13-4906-b9c2-d12b73326a22/Overview,Purdue University-Main Campus,13,35706,46655,28.5,57.98%,20859,"Small City, less than 100,000 pop",64,153,41.830065359477125,1320,1500
https://student.naviance.com/colleges/profile/c4f67518-1874-40b2-8143-ab66627bf6dc/Overview,Rice University,6,4076,7643,19.8,11.13%,42730,"Large City, greater than 250,000 pop",5,70,7.142857142857142,1510,1570
https://student.naviance.com/colleges/profile/c531f836-4de3-4fe5-96e6-1cef50cec94c/Overview,Rutgers University-New Brunswick,15,35484,49428,27.5,56.94%,27819,"Small City, less than 100,000 pop",397,565,70.26548672566372,1300,1500
https://student.naviance.com/colleges/profile/9c872dc0-615e-4bc9-940e-826e220755c7/Overview,Santa Clara University,11,5608,8616,22.3,49.91%,53699,"Midsize City, greater than 100,000 pop",0,0,NaN,1300,1400
https://student.naviance.com/colleges/profile/8b92ce30-bfad-4630-8d93-433f68280863/Overview,Stevens Institute of Technology,11,3113,6346,27.4,41.42%,44218,"Suburb, near city w/ greater than 250,000 pop",47,138,34.05797101449276,1380,1510
https://student.naviance.com/colleges/profile/d7ef1508-1443-4d36-bbf3-8fe4966a9f5e/Overview,Tufts University,9,5810,11718,19.4,14.62%,55083,"Suburb, near city w/ greater than 250,000 pop",4,85,4.705882352941177,1440,1540
https://student.naviance.com/colleges/profile/fd814823-3bbd-4baf-a62c-9b288cab908b/Overview,"University of Maryland, Baltimore",7,898,7137,,NaN%,0,"Large City, greater than 250,000 pop",0,0,NaN,1440,1440
https://student.naviance.com/colleges/profile/8a2b939d-c4cd-4bba-acfd-3d06e8d470a4/Overview,Virginia Polytechnic Institute and State University,14,30020,37024,31.5,64.85%,26368,"Small City, less than 100,000 pop",30,77,38.961038961038966,1280,1460
https://student.naviance.com/colleges/profile/43e528e4-20c7-4a23-8e64-4011c1c6f948/Overview,University of Washington-Seattle Campus,20,32244,48149,29.8,48.69%,25264,"Large City, greater than 250,000 pop",16,60,26.666666666666668,1430,1520
https://student.naviance.com/colleges/profile/752877ef-0932-4563-a4ee-5fc69204bca5/Overview,University of Wisconsin-Madison,16,32688,44640,26.8,51.73%,25436,"Large City, greater than 250,000 pop",21,76,27.631578947368425,1380,1510
